package|author|rank.a|rank.m|n.roles|total.authors|total.roles|total.extra|total.extra2|cph
accept|Ainsleigh Hill|3|NA|1|3|6|0|0|0
antaresRead|Veronique Bachelier|1|1|3|9|11|0|0|0
antaresRead|Jalal-Edine ZAWAM|2|NA|1|9|11|0|0|0
antaresRead|Frederic Breant|3|NA|1|9|11|0|0|0
antaresRead|Francois Guillem|4|NA|1|9|11|0|0|0
antaresRead|Benoit Thieurmel|5|NA|1|9|11|0|0|0
antaresRead|Titouan Robert|6|NA|1|9|11|0|0|0
antaresRead|Victor Perrier|7|NA|1|9|11|0|0|0
antaresRead|Etienne Sanchez|8|NA|1|9|11|0|0|0
antaresRead|RTE|9|NA|1|9|11|0|0|1
aws.comprehend|Thomas J. Leeper|1|NA|1|3|5|0|0|0
aws.comprehend|Antoine Sachet|2|1|3|3|5|0|0|0
aws.comprehend|Dave Kincaid|3|NA|1|3|5|0|0|0
condMVNorm|Ravi Varadhan|1|1|3|1|3|0|0|0
cornet|Armin Rauschenberger|1|1|3|1|3|0|0|0
ems|Lunna Borges|1|1|3|1|3|0|0|0
geojsonR|Lampros Mouselimis|1|1|2|1|2|0|0|0
gglasso|Yi Yang|1|1|3|3|5|0|0|0
gglasso|Hui Zou|2|NA|1|3|5|0|0|0
gglasso|Sahir Bhatnagar|3|NA|1|3|5|0|0|0
gluvarpro|Sergio Contador|1|1|2|1|2|0|0|0
GoodmanKruskal|Ron Pearson|1|1|3|1|3|0|0|0
naivereg|Qingliang Fan|1|1|2|3|4|0|0|0
naivereg|KongYu He|2|NA|1|3|4|0|0|0
naivereg|Wei Zhong|3|NA|1|3|4|0|0|0
opera|Pierre Gaillard|1|1|3|2|4|0|0|0
opera|Yannig Goude|2|NA|1|2|4|0|0|0
REddyProc|Department for Biogeochemical Integration at MPI-BGC, Jena, Germany|1|NA|1|8|12|0|0|1
REddyProc|Thomas Wutzler|2|1|3|8|12|0|0|0
REddyProc|Markus Reichstein|3|NA|1|8|12|0|0|0
REddyProc|Antje Maria Moffat|4|NA|2|8|12|0|0|0
REddyProc|Olaf Menzer|5|NA|1|8|12|0|0|0
REddyProc|Mirco Migliavacca|6|NA|1|8|12|0|0|0
REddyProc|Kerstin Sickel|7|NA|2|8|12|0|0|0
REddyProc|Ladislav Šigut|8|NA|1|8|12|0|0|0
rpredictit|Daniel Kovtun|1|1|3|1|3|0|0|0
tumblR|Andrea Capozio|1|1|2|1|2|0|0|0
zzlite|Frederik Kok Hansen|1|1|2|1|2|0|0|0
clv|Lukasz Nieweglowski|1|1|2|1|2|0|0|0
diffdf|Craig Gower-Page|1|1|3|2|4|0|0|0
diffdf|Kieran Martin|2|NA|1|2|4|0|0|0
kza|Brian Close|1|1|2|3|4|0|0|0
kza|Igor Zurbenko|2|NA|1|3|4|0|0|0
kza|Mingzeng Sun|3|NA|1|3|4|0|0|0
MOCCA|Johann Kraus|1|NA|1|2|2|0|0|0
MOCCA|Hans Kestler|NA|1|1|2|2|0|0|0
ModelMetrics|Tyler Hunt|1|1|3|1|3|0|0|0
modifiedmk|Sandeep Kumar Patakamuri|1|1|3|2|5|0|0|0
modifiedmk|Nicole O'Brien|2|NA|2|2|5|0|0|0
pwr|Stephane Champely|1|NA|1|9|10|0|0|0
pwr|Claus Ekstrom|2|NA|1|9|10|0|0|0
pwr|Peter Dalgaard|3|NA|1|9|10|0|0|0
pwr|Jeffrey Gill|4|NA|1|9|10|0|0|0
pwr|Stephan Weibelzahl|5|NA|1|9|10|0|0|0
pwr|Aditya Anandkumar|6|NA|1|9|10|0|0|0
pwr|Clay Ford|7|NA|1|9|10|0|0|0
pwr|Robert Volcic|8|NA|1|9|10|0|0|0
pwr|Helios De Rosario|9|1|2|9|10|0|0|0
c3|Matt Johnson|1|1|3|1|3|0|0|0
colorBlindness|Jianhong Ou|1|1|3|1|3|0|0|0
DirectStandardisation|Christiana Kartsonaki|1|1|2|1|2|0|0|0
easyNCDF|BSC-CNS|1|NA|2|3|6|0|0|1
easyNCDF|Nicolau Manubens|2|NA|1|3|6|0|0|0
easyNCDF|Nuria Perez-Zanon|3|1|3|3|6|0|0|0
kmc|Yifan Yang|1|1|2|2|3|0|0|0
kmc|Mai Zhou|2|NA|1|2|3|0|0|0
qqtest|Wayne Oldford|1|1|3|1|3|0|0|0
registr|Julia Wrobel|1|1|3|3|5|0|0|0
registr|Jeff Goldsmith|2|NA|1|3|5|0|0|0
registr|Erin McDonnell|3|NA|1|3|5|0|0|0
snem|Toshihiro Abe|1|NA|1|3|4|0|0|0
snem|Hironori Fujisawa|2|NA|1|3|4|0|0|0
snem|Takayuki Kawashima|3|1|2|3|4|0|0|0
sticky|Christopher Brown|1|1|3|2|4|0|0|0
sticky|Decision Patterns|2|NA|1|2|4|0|0|1
Temporal|Zachary McCaw|1|1|3|1|3|0|0|0
TMDb|Andrea Capozio|1|1|2|1|2|0|0|0
BoostMLR|Amol Pande|1|1|2|2|3|0|0|0
BoostMLR|Hemant Ishwaran|2|NA|1|2|3|0|0|0
lipidomeR|Tommi Suvitaival|1|1|3|1|3|0|0|0
packMBPLSDA|Marion Brandolini-Bunlon|1|1|2|4|5|0|0|0
packMBPLSDA|Stephanie Bougeard|2|NA|1|4|5|0|0|0
packMBPLSDA|Melanie Petera|3|NA|1|4|5|0|0|0
packMBPLSDA|Estelle Pujos-Guillot|4|NA|1|4|5|0|0|0
pollen|Jakub Nowosad|1|1|3|1|3|0|0|0
r2sundials|Serguei Sokol|1|1|3|30|32|0|0|0
r2sundials|Carol S. Woodward|2|NA|1|30|32|0|0|0
r2sundials|Daniel R. Reynolds|3|NA|1|30|32|0|0|0
r2sundials|Alan C. Hindmarsh|4|NA|1|30|32|0|0|0
r2sundials|David J. Gardner|5|NA|1|30|32|0|0|0
r2sundials|Cody J. Balos|6|NA|1|30|32|0|0|0
r2sundials|Radu Serban|7|NA|1|30|32|0|0|0
r2sundials|Scott D. Cohen|8|NA|1|30|32|0|0|0
r2sundials|Peter N. Brown|9|NA|1|30|32|0|0|0
r2sundials|George Byrne|10|NA|1|30|32|0|0|0
r2sundials|Allan G. Taylor|11|NA|1|30|32|0|0|0
r2sundials|Steven L. Lee|12|NA|1|30|32|0|0|0
r2sundials|Keith E. Grant|13|NA|1|30|32|0|0|0
r2sundials|Aaron Collier|14|NA|1|30|32|0|0|0
r2sundials|Lawrence E. Banks|15|NA|1|30|32|0|0|0
r2sundials|Steve Smith|16|NA|1|30|32|0|0|0
r2sundials|Cosmin Petra|17|NA|1|30|32|0|0|0
r2sundials|Slaven Peles|18|NA|1|30|32|0|0|0
r2sundials|John Loffeld|19|NA|1|30|32|0|0|0
r2sundials|Dan Shumaker|20|NA|1|30|32|0|0|0
r2sundials|Ulrike Yang|21|NA|1|30|32|0|0|0
r2sundials|James Almgren-Bell|22|NA|1|30|32|0|0|0
r2sundials|Shelby L. Lockhart|23|NA|1|30|32|0|0|0
r2sundials|Hilari C. Tiedeman|24|NA|1|30|32|0|0|0
r2sundials|Ting Yan|25|NA|1|30|32|0|0|0
r2sundials|Jean M. Sexton|26|NA|1|30|32|0|0|0
r2sundials|Chris White|27|NA|1|30|32|0|0|0
r2sundials|Lawrence Livermore National Security|28|NA|1|30|32|0|0|1
r2sundials|Southern Methodist University|29|NA|1|30|32|0|0|1
r2sundials|INRAE|30|NA|1|30|32|0|0|1
rorqual.morpho|Max Czapanskiy|1|1|3|3|5|0|0|0
rorqual.morpho|Shirel Kahane-Rapport|2|NA|1|3|5|0|0|0
rorqual.morpho|Jeremy Goldbogen|3|NA|1|3|5|0|0|0
Rosenbrock|Martin Wiegand|1|1|2|1|2|0|0|0
slfm|Vinicius Mayrink|1|1|3|2|4|0|0|0
slfm|Joao Duarte|2|NA|1|2|4|0|0|0
ForecastTB|Neeraj Dhanraj Bokde|1|1|3|2|4|0|0|0
ForecastTB|Gorm Bruun Andersen|2|NA|1|2|4|0|0|0
HighestMedianRules|Adrien Fabre|1|1|3|1|3|0|0|0
lmomco|William Asquith|1|1|2|1|2|0|0|0
rangeModelMetadata|Cory Merow|1|1|2|8|9|0|0|0
rangeModelMetadata|Brian Maitner|2|NA|1|8|9|0|0|0
rangeModelMetadata|Hannah Owens|3|NA|1|8|9|0|0|0
rangeModelMetadata|Jamie Kass|4|NA|1|8|9|0|0|0
rangeModelMetadata|Brian Enquist|5|NA|1|8|9|0|0|0
rangeModelMetadata|Rob Guralnick|6|NA|1|8|9|0|0|0
rangeModelMetadata|Damairis Zurrel|7|NA|1|8|9|0|0|0
rangeModelMetadata|Christian Koenig|8|NA|1|8|9|0|0|0
RcppAPT|Dirk Eddelbuettel|1|1|2|1|2|0|0|0
Ropj|Miquel Garriga|1|NA|2|10|21|0|0|1
Ropj|Stefan Gerlach|2|NA|2|10|21|0|0|1
Ropj|Ion Vasilief|3|NA|2|10|21|0|0|1
Ropj|Alex Kargovsky|4|NA|2|10|21|0|0|1
Ropj|Knut Franke|5|NA|2|10|21|0|0|1
Ropj|Alexander Semke|6|NA|2|10|21|0|0|1
Ropj|Tilman Benkert|7|NA|2|10|21|0|0|1
Ropj|Kasper Peeters|8|NA|2|10|21|0|0|1
Ropj|Russell Standish|9|NA|2|10|21|0|0|1
Ropj|Ivan Krylov|10|1|3|10|21|0|0|1
sim2Dpredictr|Justin Leach|1|1|4|1|4|0|0|1
spacey|Michael Mahoney|1|1|3|1|3|0|0|0
subselect|Jorge Orestes Cerdeira|1|NA|1|4|6|0|0|0
subselect|Pedro Duarte Silva|2|NA|1|4|6|0|0|0
subselect|Jorge Cadima|3|1|3|4|6|0|0|0
subselect|Manuel Minhoto|4|NA|1|4|6|0|0|0
bartBMA|Belinda Hernandez|1|1|3|5|7|0|0|0
bartBMA|Adrian E. Raftery|2|NA|1|5|7|0|0|0
bartBMA|Stephen R Pennington|3|NA|1|5|7|0|0|0
bartBMA|Andrew C. Parnell|4|NA|1|5|7|0|0|0
bartBMA|Eoghan O'Neill|5|NA|1|5|7|0|0|0
bestglm|A.I. McLeod|1|NA|1|3|4|0|0|0
bestglm|Changjiang Xu|2|NA|1|3|4|0|0|0
bestglm|Yuanhao Lai|3|1|2|3|4|0|0|0
cansim|Jens von Bergmann|1|1|2|2|3|0|0|0
cansim|Dmitry Shkolnik|2|NA|1|2|3|0|0|0
CMF|Arto Klami|1|NA|1|3|5|0|0|0
CMF|Lauri Väre|2|NA|1|3|5|0|0|0
CMF|Felix Held|3|1|3|3|5|0|0|0
earthtide|Jonathan Kennel|1|1|4|3|6|0|0|0
earthtide|Beth Parker|2|NA|1|3|6|0|0|0
earthtide|Wenzel Hans-Georg|3|NA|1|3|6|0|0|0
ecipex|Andreas Ipsen|1|1|2|1|2|0|0|0
kamila|Alexander Foss|1|1|3|2|4|0|0|0
kamila|Marianthi Markatou|2|NA|1|2|4|0|0|0
ldat|Jan van der Laan|1|1|2|1|2|0|0|0
ltmle|Joshua Schwab|1|1|3|5|7|0|0|0
ltmle|Samuel Lendle|2|NA|1|5|7|0|0|0
ltmle|Maya Petersen|3|NA|1|5|7|0|0|0
ltmle|Mark van der Laan|4|NA|1|5|7|0|0|0
ltmle|Susan Gruber|5|NA|1|5|7|0|0|0
maxnodf|Christoph Hoeppke|1|1|3|2|4|0|0|0
maxnodf|Benno Simmons|2|NA|1|2|4|0|0|0
metaDigitise|Joel Pick|1|NA|1|3|5|0|0|0
metaDigitise|Shinichi Nakagawa|2|NA|1|3|5|0|0|0
metaDigitise|Daniel Noble|3|1|3|3|5|0|0|0
NatureSounds|Marcelo Araya-Salas|1|1|3|1|3|0|0|0
odr|Zuchao Shen|1|1|3|2|4|0|0|0
odr|Ben Kelcey|2|NA|1|2|4|0|0|0
PatternClass|Tarmo K. Remmel|1|1|2|1|2|0|0|0
processanimateR|Felix Mannhardt|1|1|3|2|4|0|0|0
processanimateR|Gert Janssenswillen|2|NA|1|2|4|0|0|0
Rquefts|Robert J. Hijmans|1|1|3|2|4|0|0|0
Rquefts|Joost Wolff|2|NA|1|2|4|0|0|0
ShortForm|Anthony Raborn|1|1|3|2|4|0|0|0
ShortForm|Walter Leite|2|NA|1|2|4|0|0|0
sorocs|Zhen Chen|1|NA|1|3|4|0|0|0
sorocs|Beom Seuk Hwang|2|NA|1|3|4|0|0|0
sorocs|Weimin Zhang|3|1|2|3|4|0|0|0
StabilizedRegression|Niklas Pfister|1|1|3|2|4|0|0|0
StabilizedRegression|Evan Williams|2|NA|1|2|4|0|0|0
tukeytrend|Frank Schaarschmidt|1|1|3|3|5|0|0|0
tukeytrend|Christian Ritz|2|NA|1|3|5|0|0|0
tukeytrend|Ludwig Hothorn|3|NA|1|3|5|0|0|0
waveslim|Brandon Whitcher|1|1|2|1|2|0|0|0
bnclassify|Mihaljevic Bojan|1|1|3|4|6|0|0|0
bnclassify|Bielza Concha|2|NA|1|4|6|0|0|0
bnclassify|Larranaga Pedro|3|NA|1|4|6|0|0|0
bnclassify|Wickham Hadley|4|NA|1|4|6|0|0|0
catdap|The Institute of Statistical Mathematics  catdap author details|1|NA|1|2|2|0|0|0
catdap|Masami Saga|NA|1|1|2|2|0|0|0
clarkeTest|Dave Armstrong|1|1|3|2|4|0|0|0
clarkeTest|Brenton Kenkel|2|NA|1|2|4|0|0|0
discretecdAlgorithm|Jiaying Gu|1|1|3|1|3|0|0|0
EloRating|Christof Neumann|1|1|3|2|4|0|0|0
EloRating|Lars Kulik|2|NA|1|2|4|0|0|0
ggplotify|Guangchuang Yu|1|1|3|1|3|0|0|0
hydroGOF|Mauricio Zambrano-Bigiarini|1|1|4|1|4|0|0|1
Rdsdp|Zhisu Zhu|1|1|2|2|3|0|0|0
Rdsdp|Yinyu Ye|2|NA|1|2|3|0|0|0
RInside|Dirk Eddelbuettel|1|1|2|3|4|0|0|0
RInside|Romain Francois|2|NA|1|3|4|0|0|0
RInside|Lance Bachmeier|3|NA|1|3|4|0|0|0
robeth|Alfio Marazzi|1|NA|1|2|2|0|0|0
robeth|A. Randriamiharisoa|NA|1|1|2|2|0|0|0
tableschema.r|Kleanthis Koupidis|1|1|3|4|6|0|0|0
tableschema.r|Lazaros Ioannidis|2|NA|1|4|6|0|0|0
tableschema.r|Charalampos Bratsas|3|NA|1|4|6|0|0|0
tableschema.r|Open Knowledge International|4|NA|1|4|6|0|0|1
aws.polly|Thomas J. Leeper|1|NA|1|2|3|0|0|0
aws.polly|Antoine Sachet|2|1|2|2|3|0|0|0
aws.transcribe|Thomas J. Leeper|1|NA|1|2|3|0|0|0
aws.transcribe|Antoine Sachet|2|1|2|2|3|0|0|0
aws.translate|Thomas J. Leeper|1|NA|1|2|3|0|0|0
aws.translate|Antoine Sachet|2|1|2|2|3|0|0|0
binsmooth|David J. Hunter|1|NA|1|3|3|0|0|0
binsmooth|McKalie Drown|2|NA|1|3|3|0|0|0
binsmooth|Dave Hunter|NA|1|1|3|3|0|0|0
dataRetrieval|Laura DeCicco|1|1|3|7|9|0|0|0
dataRetrieval|Robert Hirsch|2|NA|1|7|9|0|0|0
dataRetrieval|David Lorenz|3|NA|1|7|9|0|0|0
dataRetrieval|Jordan Read|4|NA|1|7|9|0|0|0
dataRetrieval|Jordan Walker|5|NA|1|7|9|0|0|0
dataRetrieval|Lindsay Carr|6|NA|1|7|9|0|0|0
dataRetrieval|David Watkins|7|NA|1|7|9|0|0|0
hydroTSM|Mauricio Zambrano-Bigiarini|1|1|4|1|4|0|0|1
ITNr|Matthew Smith|1|1|2|1|2|0|0|0
ODB|Sylvain Mareschal|1|1|2|1|2|0|0|0
phase1RMD|Jun Yin|1|1|2|3|4|0|0|0
phase1RMD|Yu Du|2|NA|1|3|4|0|0|0
phase1RMD|Sumithra Mandrekar|3|NA|1|3|4|0|0|0
processmapR|Gert Janssenswillen|1|1|3|4|6|0|0|0
processmapR|Benoît Depaire|2|NA|1|4|6|0|0|0
processmapR|Felix Mannhardt|3|NA|1|4|6|0|0|0
processmapR|Thijs Beuving|4|NA|1|4|6|0|0|0
rcdk|Rajarshi Guha|1|NA|2|3|5|0|0|1
rcdk|Zachary Charlop-Powers|2|1|2|3|5|0|0|0
rcdk|Emma Schymanski|3|NA|1|3|5|0|0|0
rromeo|Matthias Grenié|1|1|3|2|4|0|0|0
rromeo|Hugo Gruson|2|NA|1|2|4|0|0|0
SeqKat|Fouad Yousif|1|NA|1|6|6|0|0|0
SeqKat|Xihui Lin|2|NA|1|6|6|0|0|0
SeqKat|Fan Fan|3|NA|1|6|6|0|0|0
SeqKat|Christopher Lalansingh|4|NA|1|6|6|0|0|0
SeqKat|John Macdonald|5|NA|1|6|6|0|0|0
SeqKat|Paul C. Boutros|NA|1|1|6|6|0|0|0
SynthTools|Charlotte Looby|1|1|3|1|3|0|0|0
transport|Dominic Schuhmacher|1|1|3|9|11|0|0|0
transport|Björn Bähre|2|NA|1|9|11|0|0|0
transport|Nicolas Bonneel|3|NA|1|9|11|0|0|0
transport|Carsten Gottschlich|4|NA|1|9|11|0|0|0
transport|Valentin Hartmann|5|NA|1|9|11|0|0|0
transport|Florian Heinemann|6|NA|1|9|11|0|0|0
transport|Bernhard Schmitzer|7|NA|1|9|11|0|0|0
transport|Jörn Schrieber|8|NA|1|9|11|0|0|0
transport|Timo Wilm|9|NA|1|9|11|0|0|0
binovisualfields|Ping Liu|1|1|3|2|4|0|0|0
binovisualfields|Andrew Turpin|2|NA|1|2|4|0|0|0
catnet|Nikolay Balov|1|1|3|2|4|0|0|0
catnet|Peter Salzman|2|NA|1|2|4|0|0|0
CDM|Alexander Robitzsch|1|1|3|4|6|0|0|0
CDM|Thomas Kiefer|2|NA|1|4|6|0|0|0
CDM|Ann Cathrice George|3|NA|1|4|6|0|0|0
CDM|Ali Uenlue|4|NA|1|4|6|0|0|0
DAAG|John H. Maindonald|1|NA|1|2|3|0|0|0
DAAG|W. John Braun|2|1|2|2|3|0|0|0
DAIME|Niklas Hohmann|1|1|2|1|2|0|0|0
distrMod|Matthias Kohl|1|NA|2|3|7|0|0|1
distrMod|Peter Ruckdeschel|2|1|3|3|7|0|0|1
distrMod|R Core Team|3|NA|2|3|7|0|0|1
IETD|Luis F. Duque|1|1|2|1|2|0|0|0
optiSolve|Robin Wellmann|1|1|2|1|2|0|0|0
PupilPre|Aki-Juhani Kyröläinen|1|1|3|4|6|0|0|0
PupilPre|Vincent Porretta|2|NA|1|4|6|0|0|0
PupilPre|Jacolien van Rij|3|NA|1|4|6|0|0|0
PupilPre|Juhani Järvikivi|4|NA|1|4|6|0|0|0
rgoogleslides|Hairizuan Bin Noorazman|1|NA|1|2|2|0|0|0
rgoogleslides|Hairizuan Noorazman|NA|1|1|2|2|0|0|0
RJDBC|Simon Urbanek|1|1|2|1|2|0|0|0
rSCA|Xiuquan  Wang|1|NA|1|2|2|0|0|0
rSCA|Xiuquan (Xander) Wang|NA|1|1|2|2|0|0|0
SARP.compo|Emmanuel Curis|1|1|3|1|3|0|0|0
SASxport|Gregory R. Warnes -- Unless otherwise noted|1|NA|1|28|33|0|0|0
SASxport|the contents of this package were written by Gregory R. Warnes|2|NA|1|28|33|0|0|0
SASxport|are provided under the terms of the GNU General Public License|3|NA|1|28|33|0|0|0
SASxport|version 2.0 or later. -- The files 'src|4|NA|1|28|33|0|0|0
SASxport|ieee2ibm.c'|5|NA|1|28|33|0|0|0
SASxport|'src|6|NA|4|28|33|0|0|0
SASxport|ibm2ieee.c' were extracted from BRL-CAD file|7|NA|1|28|33|0|0|0
SASxport|brlcad|8|NA|1|28|33|0|0|0
SASxport|src|9|NA|1|28|33|0|0|0
SASxport|libbu|10|NA|1|28|33|0|0|0
SASxport|htond.c written by Michael John Muuss|11|NA|1|28|33|0|0|0
SASxport|Copyright  2004-2007 United States Government as represented by the U.S. Army Research Laboratory|12|NA|1|28|33|0|0|0
SASxport|is utilized|13|NA|2|28|33|0|0|0
SASxport|redistributed under the terms of the GNU Lesser General Public License|14|NA|1|28|33|0|0|0
SASxport|version 2.1. -- The file 'R|15|NA|1|28|33|0|0|0
SASxport|read.xport.R' is adapted from the 'Hmisc' package created by Frank E. Harrell|16|NA|1|28|33|0|0|0
SASxport|Jr|17|NA|1|28|33|0|0|0
SASxport|redistributed under the terms of the GNU General Public License|19|NA|2|28|33|0|0|0
SASxport|version 2.0 or later. -- The files 'R|20|NA|1|28|33|0|0|0
SASxport|xport.R'|21|NA|1|28|33|0|0|0
SASxport|SASxport.c'|23|NA|1|28|33|0|0|0
SASxport|SASxport.h'|25|NA|1|28|33|0|0|0
SASxport|foreign.h' are copied or adapted from the 'R' 'foreign' package created by Douglas M. Bates|27|NA|1|28|33|0|0|0
SASxport|Saikat DebRoy|28|NA|1|28|33|0|0|0
SASxport|are utilized|29|NA|1|28|33|0|0|0
SASxport|version 2.0 or later. -- The creation of this package was partially funded by Metrum Institute &lt;http:|31|NA|1|28|33|0|0|0
SASxport|metruminstitute.org&gt;|32|NA|1|28|33|0|0|0
SASxport|Gregory R. Warnes|NA|1|1|28|33|0|0|0
sdcTable|Bernhard Meindl|1|1|2|1|2|0|0|0
SplitSoftening|Jakub Dvorak|1|1|2|1|2|0|0|0
SSN|Jay Ver Hoef|1|1|3|2|4|0|0|0
SSN|Erin Peterson|2|NA|1|2|4|0|0|0
StatDA|Peter Filzmoser|1|1|2|1|2|0|0|0
tosca|Lars Koppers|1|1|3|4|6|0|0|0
tosca|Jonas Rieger|2|NA|1|4|6|0|0|0
tosca|Karin Boczek|3|NA|1|4|6|0|0|0
tosca|Gerret von Nordheim|4|NA|1|4|6|0|0|0
treefit|Momoko Hayamizu|1|NA|1|2|4|0|0|0
treefit|Kouhei Sutou|2|1|3|2|4|0|0|0
aof|Fabrice Requier|1|1|3|2|4|0|0|0
aof|François Rebaudo|2|NA|1|2|4|0|0|0
audio|Simon Urbanek|1|1|2|1|2|0|0|0
bain|Xin Gu|1|NA|1|7|9|0|0|0
bain|Herbert Hoijtink|2|NA|1|7|9|0|0|0
bain|Joris Mulder|3|NA|1|7|9|0|0|0
bain|Caspar J van Lissa|4|1|3|7|9|0|0|0
bain|Van Zundert Camiel|5|NA|1|7|9|0|0|0
bain|Jeff Jones|6|NA|1|7|9|0|0|0
bain|Niels Waller|7|NA|1|7|9|0|0|0
BIOdry|Wilson Lara|1|1|2|2|3|0|0|0
BIOdry|Felipe Bravo|2|NA|1|2|3|0|0|0
cyphr|Rich FitzJohn|1|1|3|1|3|0|0|0
eulerr|Johan Larsson|1|1|3|7|10|0|0|0
eulerr|A. Jonathan R. Godfrey|2|NA|1|7|10|0|0|0
eulerr|Peter Gustafsson|3|NA|1|7|10|0|0|0
eulerr|David H. Eberly|4|NA|1|7|10|0|0|0
eulerr|Emanuel Huber|5|NA|1|7|10|0|0|0
eulerr|Kamil Slowikowski|6|NA|2|7|10|0|0|1
eulerr|Florian Privé|7|NA|1|7|10|0|0|0
excelR|Swechhya Bista|1|1|3|3|5|0|0|0
excelR|Kent Russell|2|NA|1|3|5|0|0|0
excelR|Mārcis Bratka|3|NA|1|3|5|0|0|0
FastRWeb|Simon Urbanek|1|1|2|2|3|0|0|0
FastRWeb|Jeffrey Horner|2|NA|1|2|3|0|0|0
funest|Yijun Xie|1|1|3|3|5|0|0|0
funest|Shu Jiang|2|NA|1|3|5|0|0|0
funest|Graham A. Colditz|3|NA|1|3|5|0|0|0
furniture|Tyson S. Barrett|1|1|3|3|5|0|0|0
furniture|Emily Brignone|2|NA|1|3|5|0|0|0
furniture|Daniel J. Laxman|3|NA|1|3|5|0|0|0
genero|Juan Pablo Marin Diaz|1|1|3|1|3|0|0|0
GenomicTools|Daniel Fischer|1|1|2|1|2|0|0|0
iotools|Simon Urbanek|1|1|2|2|3|0|0|0
iotools|Taylor Arnold|2|NA|1|2|3|0|0|0
MCPMod|Bjoern Bornkamp|1|1|2|3|4|0|0|0
MCPMod|Jose Pinheiro|2|NA|1|3|4|0|0|0
MCPMod|Frank Bretz|3|NA|1|3|4|0|0|0
Morpho|Stefan Schlager|1|1|4|3|6|0|0|1
Morpho|Gregory Jefferis|2|NA|1|3|6|0|0|0
Morpho|Dryden Ian|3|NA|1|3|6|0|0|1
ocs4R|Emmanuel Blondel|1|1|3|1|3|0|0|0
OpenCL|Simon Urbanek|1|1|2|2|3|0|0|0
OpenCL|Aaron Puchert|2|NA|1|2|3|0|0|0
phase1PRMD|Lu Zhang|1|1|2|2|3|0|0|0
phase1PRMD|Jun Yin|2|NA|1|2|3|0|0|0
plotKML|Tomislav Hengl|1|1|3|5|7|0|0|0
plotKML|Pierre Roudier|2|NA|1|5|7|0|0|0
plotKML|Dylan Beaudette|3|NA|1|5|7|0|0|0
plotKML|Edzer Pebesma|4|NA|1|5|7|0|0|0
plotKML|Michael Blaschek|5|NA|1|5|7|0|0|0
PredictABEL|Suman Kundu|1|1|2|3|4|0|0|0
PredictABEL|Yurii S. Aulchenko|2|NA|1|3|4|0|0|0
PredictABEL|A. Cecile J.W. Janssens|3|NA|1|3|4|0|0|0
R2admb|Ben Bolker|1|1|3|3|5|0|0|0
R2admb|Hans Skaug|2|NA|1|3|5|0|0|0
R2admb|Jeff Laake|3|NA|1|3|5|0|0|0
R62S3|Raphael Sonabend|1|1|3|1|3|0|0|0
RAPTOR|Richard L. Peters|1|1|4|9|14|0|0|1
RAPTOR|Daniel Balanzategui|2|NA|1|9|14|0|0|0
RAPTOR|Alexander Hurley|3|NA|1|9|14|0|0|0
RAPTOR|Georg von Arx|4|NA|1|9|14|0|0|0
RAPTOR|Angela Luisa Prendin|5|NA|1|9|14|0|0|0
RAPTOR|Henri E. Cuny|6|NA|1|9|14|0|0|0
RAPTOR|Jesper Bjoerklund|7|NA|1|9|14|0|0|0
RAPTOR|David C. Frank|8|NA|1|9|14|0|0|0
RAPTOR|Patrick Fonti|9|NA|3|9|14|0|0|0
Rcsdp|Hector Corrada Bravo|1|1|3|3|5|0|0|0
Rcsdp|Brian Borchers|2|NA|1|3|5|0|0|0
Rcsdp|Don van den Bergh|3|NA|1|3|5|0|0|0
utility|Peter Reichert|1|1|2|2|3|0|0|0
utility|Nele Schuwirth|2|NA|1|2|3|0|0|0
BNPdensity|Julyan Arbel|1|NA|1|6|8|0|0|0
BNPdensity|Ernesto Barrios|2|NA|1|6|8|0|0|0
BNPdensity|Guillaume Kon Kam King|3|1|3|6|8|0|0|0
BNPdensity|Antonio Lijoi|4|NA|1|6|8|0|0|0
BNPdensity|Luis E. Nieto-Barajas|5|NA|1|6|8|0|0|0
BNPdensity|Igor Prünster|6|NA|1|6|8|0|0|0
clifford|Robin K. S. Hankin|1|1|3|1|3|0|0|0
ctgt|Ningning Xu|1|1|2|1|2|0|0|0
deSolve|Karline Soetaert|1|NA|1|11|13|0|0|0
deSolve|Thomas Petzoldt|2|1|3|11|13|0|0|0
deSolve|R. Woodrow Setzer|3|NA|1|11|13|0|0|0
deSolve|Peter N. Brown|4|NA|1|11|13|0|0|0
deSolve|George D. Byrne|5|NA|1|11|13|0|0|0
deSolve|Ernst Hairer|6|NA|1|11|13|0|0|0
deSolve|Alan C. Hindmarsh|7|NA|1|11|13|0|0|0
deSolve|Cleve Moler|8|NA|1|11|13|0|0|0
deSolve|Linda R. Petzold|9|NA|1|11|13|0|0|0
deSolve|Youcef Saad|10|NA|1|11|13|0|0|0
deSolve|Clement W. Ulrich|11|NA|1|11|13|0|0|0
dyndimred|Robrecht Cannoodt|1|NA|1|2|4|0|0|0
dyndimred|Wouter Saelens|2|1|3|2|4|0|0|0
listarrays|Tomasz Kalinowski|1|1|3|1|3|0|0|0
naivebayes|Michal Majka|1|1|2|1|2|0|0|0
nmslibR|Lampros Mouselimis|1|1|3|6|8|0|0|0
nmslibR|B. Naidan|2|NA|1|6|8|0|0|1
